1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0.799513,0.738845,0.692445,0.310764,0.226803,0.196703
0,0,0,0,0.799513,1,0.641382,0.531112,0.593523,0.509915,0.458519
0,0,0,0,0.738845,0.641382,1,0.247935,0.599338,0.571526,0.543489
0,0,0,0,0.692445,0.531112,0.247935,1,-0.253111,-0.346391,-0.332602
0,0,0,0,0.310764,0.593523,0.599338,-0.253111,1,0.957044,0.840811
0,0,0,0,0.226803,0.509915,0.571526,-0.346391,0.957044,1,0.949053
0,0,0,0,0.196703,0.458519,0.543489,-0.332602,0.840811,0.949053,1
